type;period;value;invlevel;mtlevel
u(WIP);13;0;inv(med);mt(med)
u(WIP);14;0;inv(med);mt(med)
u(WIP);15;0;inv(med);mt(med)
u(WIP);16;0;inv(med);mt(med)
u(WIP);17;0;inv(med);mt(med)
u(WIP);18;0;inv(med);mt(med)
u(WIP);19;0;inv(med);mt(med)
u(WIP);20;0;inv(med);mt(med)
u(WIP);21;0;inv(med);mt(med)
u(WIP);22;0;inv(med);mt(med)
u(WIP);23;0;inv(med);mt(med)
u(WIP);24;-0.8;inv(med);mt(med)
u(WIP);25;-2.2;inv(med);mt(med)
u(WIP);26;-1.6;inv(med);mt(med)
u(WIP);27;0;inv(med);mt(med)
u(WIP);28;0;inv(med);mt(med)
u(WIP);29;0;inv(med);mt(med)
u(WIP);30;0;inv(med);mt(med)
i(End Item);1;0;inv(med);mt(med)
i(End Item);2;0;inv(med);mt(med)
i(End Item);3;0;inv(med);mt(med)
i(End Item);4;0;inv(med);mt(med)
i(End Item);5;0;inv(med);mt(med)
i(End Item);6;0;inv(med);mt(med)
i(End Item);7;0;inv(med);mt(med)
i(End Item);8;0;inv(med);mt(med)
i(End Item);9;0;inv(med);mt(med)
i(End Item);10;0;inv(med);mt(med)
i(End Item);11;0;inv(med);mt(med)
i(End Item);12;0;inv(med);mt(med)
i(End Item);13;0;inv(med);mt(med)
i(End Item);14;0;inv(med);mt(med)
i(End Item);15;0;inv(med);mt(med)
i(End Item);16;0;inv(med);mt(med)
i(End Item);17;0;inv(med);mt(med)
i(End Item);18;0;inv(med);mt(med)
i(End Item);19;0;inv(med);mt(med)
i(End Item);20;0;inv(med);mt(med)
i(End Item);21;0;inv(med);mt(med)
i(End Item);22;0;inv(med);mt(med)
i(End Item);23;0;inv(med);mt(med)
i(End Item);24;0;inv(med);mt(med)
i(End Item);25;0;inv(med);mt(med)
i(End Item);26;0;inv(med);mt(med)
i(End Item);27;0;inv(med);mt(med)
i(End Item);28;0;inv(med);mt(med)
i(End Item);29;0;inv(med);mt(med)
i(End Item);30;0;inv(med);mt(med)
y(Total Production);1;9;inv(high);mt(med)
y(Total Production);2;14;inv(high);mt(med)
y(Total Production);3;8;inv(high);mt(med)
y(Total Production);4;10;inv(high);mt(med)
y(Total Production);5;14;inv(high);mt(med)
y(Total Production);6;9;inv(high);mt(med)
y(Total Production);7;7;inv(high);mt(med)
y(Total Production);8;11;inv(high);mt(med)
y(Total Production);9;15;inv(high);mt(med)
y(Total Production);10;15;inv(high);mt(med)
y(Total Production);11;6;inv(high);mt(med)
y(Total Production);12;13;inv(high);mt(med)
y(Total Production);13;9;inv(high);mt(med)
y(Total Production);14;11;inv(high);mt(med)
y(Total Production);15;14;inv(high);mt(med)
y(Total Production);16;13;inv(high);mt(med)
y(Total Production);17;11;inv(high);mt(med)
y(Total Production);18;11;inv(high);mt(med)
y(Total Production);19;12;inv(high);mt(med)
y(Total Production);20;13;inv(high);mt(med)
y(Total Production);21;13;inv(high);mt(med)
y(Total Production);22;10;inv(high);mt(med)
y(Total Production);23;12;inv(high);mt(med)
y(Total Production);24;13;inv(high);mt(med)
y(Total Production);25;13;inv(high);mt(med)
y(Total Production);26;15;inv(high);mt(med)
y(Total Production);27;16;inv(high);mt(med)
y(Total Production);28;11;inv(high);mt(med)
y(Total Production);29;8;inv(high);mt(med)
y(Total Production);30;10;inv(high);mt(med)
u(WIP);1;0;inv(high);mt(med)
u(WIP);2;0;inv(high);mt(med)
u(WIP);3;0;inv(high);mt(med)
u(WIP);4;0;inv(high);mt(med)
u(WIP);5;0;inv(high);mt(med)
u(WIP);6;0;inv(high);mt(med)
u(WIP);7;0;inv(high);mt(med)
u(WIP);8;-1.2;inv(high);mt(med)
u(WIP);9;-0.6;inv(high);mt(med)
u(WIP);10;0;inv(high);mt(med)
u(WIP);11;0;inv(high);mt(med)
u(WIP);12;0;inv(high);mt(med)
u(WIP);13;0;inv(high);mt(med)
u(WIP);14;0;inv(high);mt(med)
u(WIP);15;0;inv(high);mt(med)
u(WIP);16;0;inv(high);mt(med)
u(WIP);17;0;inv(high);mt(med)
u(WIP);18;0;inv(high);mt(med)
u(WIP);19;0;inv(high);mt(med)
u(WIP);20;0;inv(high);mt(med)
u(WIP);21;0;inv(high);mt(med)
u(WIP);22;0;inv(high);mt(med)
u(WIP);23;0;inv(high);mt(med)
u(WIP);24;-0.8;inv(high);mt(med)
u(WIP);25;-2.2;inv(high);mt(med)
u(WIP);26;-1.6;inv(high);mt(med)
u(WIP);27;0;inv(high);mt(med)
u(WIP);28;0;inv(high);mt(med)
u(WIP);29;0;inv(high);mt(med)
u(WIP);30;0;inv(high);mt(med)
i(End Item);1;0;inv(high);mt(med)
i(End Item);2;0;inv(high);mt(med)
i(End Item);3;0;inv(high);mt(med)
i(End Item);4;0;inv(high);mt(med)
i(End Item);5;0;inv(high);mt(med)
i(End Item);6;0;inv(high);mt(med)
i(End Item);7;0;inv(high);mt(med)
i(End Item);8;0;inv(high);mt(med)
i(End Item);9;0;inv(high);mt(med)
i(End Item);10;0;inv(high);mt(med)
i(End Item);11;0;inv(high);mt(med)
i(End Item);12;0;inv(high);mt(med)
i(End Item);13;0;inv(high);mt(med)
i(End Item);14;0;inv(high);mt(med)
i(End Item);15;0;inv(high);mt(med)
i(End Item);16;0;inv(high);mt(med)
i(End Item);17;0;inv(high);mt(med)
i(End Item);18;0;inv(high);mt(med)
i(End Item);19;0;inv(high);mt(med)
i(End Item);20;0;inv(high);mt(med)
i(End Item);21;0;inv(high);mt(med)
i(End Item);22;0;inv(high);mt(med)
i(End Item);23;0;inv(high);mt(med)
i(End Item);24;0;inv(high);mt(med)
i(End Item);25;0;inv(high);mt(med)
i(End Item);26;0;inv(high);mt(med)
i(End Item);27;0;inv(high);mt(med)
i(End Item);28;0;inv(high);mt(med)
i(End Item);29;0;inv(high);mt(med)
i(End Item);30;0;inv(high);mt(med)
y(Total Production);1;9;inv(low);mt(high)
y(Total Production);2;14;inv(low);mt(high)
y(Total Production);3;8;inv(low);mt(high)
y(Total Production);4;10;inv(low);mt(high)
y(Total Production);5;14;inv(low);mt(high)
y(Total Production);6;9;inv(low);mt(high)
y(Total Production);7;7;inv(low);mt(high)
y(Total Production);8;11;inv(low);mt(high)
y(Total Production);9;15;inv(low);mt(high)
y(Total Production);10;15;inv(low);mt(high)
y(Total Production);11;6;inv(low);mt(high)
y(Total Production);12;13;inv(low);mt(high)
y(Total Production);13;9;inv(low);mt(high)
y(Total Production);14;11;inv(low);mt(high)
y(Total Production);15;14;inv(low);mt(high)
y(Total Production);16;13;inv(low);mt(high)
y(Total Production);17;11;inv(low);mt(high)
y(Total Production);18;11;inv(low);mt(high)
y(Total Production);19;12;inv(low);mt(high)
y(Total Production);20;13;inv(low);mt(high)
y(Total Production);21;13;inv(low);mt(high)
y(Total Production);22;10;inv(low);mt(high)
y(Total Production);23;12;inv(low);mt(high)
y(Total Production);24;13;inv(low);mt(high)
y(Total Production);25;13;inv(low);mt(high)
y(Total Production);26;15;inv(low);mt(high)
y(Total Production);27;16;inv(low);mt(high)
y(Total Production);28;11;inv(low);mt(high)
y(Total Production);29;8;inv(low);mt(high)
y(Total Production);30;10;inv(low);mt(high)
u(WIP);1;0;inv(low);mt(high)
u(WIP);2;0;inv(low);mt(high)
u(WIP);3;0;inv(low);mt(high)
u(WIP);4;0;inv(low);mt(high)
u(WIP);5;0;inv(low);mt(high)
u(WIP);6;0;inv(low);mt(high)
u(WIP);7;0;inv(low);mt(high)
u(WIP);8;0;inv(low);mt(high)
u(WIP);9;0;inv(low);mt(high)
u(WIP);10;0;inv(low);mt(high)
u(WIP);11;0;inv(low);mt(high)
u(WIP);12;0;inv(low);mt(high)
u(WIP);13;0;inv(low);mt(high)
u(WIP);14;0;inv(low);mt(high)
u(WIP);15;0;inv(low);mt(high)
u(WIP);16;0;inv(low);mt(high)
u(WIP);17;0;inv(low);mt(high)
u(WIP);18;0;inv(low);mt(high)
u(WIP);19;0;inv(low);mt(high)
u(WIP);20;0;inv(low);mt(high)
u(WIP);21;0;inv(low);mt(high)
u(WIP);22;0;inv(low);mt(high)
u(WIP);23;0;inv(low);mt(high)
u(WIP);24;0;inv(low);mt(high)
u(WIP);25;0;inv(low);mt(high)
u(WIP);26;0;inv(low);mt(high)
u(WIP);27;0;inv(low);mt(high)
u(WIP);28;0;inv(low);mt(high)
u(WIP);29;0;inv(low);mt(high)
u(WIP);30;0;inv(low);mt(high)
i(End Item);1;0;inv(low);mt(high)
i(End Item);2;0;inv(low);mt(high)
i(End Item);3;0;inv(low);mt(high)
i(End Item);4;0;inv(low);mt(high)
i(End Item);5;0;inv(low);mt(high)
i(End Item);6;0;inv(low);mt(high)
i(End Item);7;0;inv(low);mt(high)
i(End Item);8;0;inv(low);mt(high)
i(End Item);9;0;inv(low);mt(high)
i(End Item);10;0;inv(low);mt(high)
i(End Item);11;0;inv(low);mt(high)
i(End Item);12;0;inv(low);mt(high)
i(End Item);13;0;inv(low);mt(high)
i(End Item);14;0;inv(low);mt(high)
i(End Item);15;0;inv(low);mt(high)
i(End Item);16;0;inv(low);mt(high)
i(End Item);17;0;inv(low);mt(high)
i(End Item);18;0;inv(low);mt(high)
i(End Item);19;0;inv(low);mt(high)
i(End Item);20;0;inv(low);mt(high)
i(End Item);21;0;inv(low);mt(high)
i(End Item);22;0;inv(low);mt(high)
i(End Item);23;0;inv(low);mt(high)
i(End Item);24;0;inv(low);mt(high)
i(End Item);25;0;inv(low);mt(high)
i(End Item);26;0;inv(low);mt(high)
i(End Item);27;0;inv(low);mt(high)
i(End Item);28;0;inv(low);mt(high)
i(End Item);29;0;inv(low);mt(high)
i(End Item);30;0;inv(low);mt(high)
y(Total Production);1;9;inv(med);mt(high)
y(Total Production);2;14;inv(med);mt(high)
y(Total Production);3;8;inv(med);mt(high)
y(Total Production);4;10;inv(med);mt(high)
y(Total Production);5;14;inv(med);mt(high)
y(Total Production);6;9;inv(med);mt(high)
y(Total Production);7;7;inv(med);mt(high)
y(Total Production);8;11;inv(med);mt(high)
y(Total Production);9;15;inv(med);mt(high)
y(Total Production);10;15;inv(med);mt(high)
y(Total Production);11;6;inv(med);mt(high)
y(Total Production);12;13;inv(med);mt(high)
y(Total Production);13;9;inv(med);mt(high)
y(Total Production);14;11;inv(med);mt(high)
y(Total Production);15;14;inv(med);mt(high)
y(Total Production);16;13;inv(med);mt(high)
y(Total Production);17;11;inv(med);mt(high)
y(Total Production);18;11;inv(med);mt(high)
y(Total Production);19;12;inv(med);mt(high)
y(Total Production);20;13;inv(med);mt(high)
y(Total Production);21;13;inv(med);mt(high)
y(Total Production);22;10;inv(med);mt(high)
y(Total Production);23;12;inv(med);mt(high)
y(Total Production);24;13;inv(med);mt(high)
y(Total Production);25;13;inv(med);mt(high)
y(Total Production);26;15;inv(med);mt(high)
y(Total Production);27;16;inv(med);mt(high)
y(Total Production);28;11;inv(med);mt(high)
y(Total Production);29;8;inv(med);mt(high)
y(Total Production);30;10;inv(med);mt(high)
u(WIP);1;0;inv(med);mt(high)
u(WIP);2;0;inv(med);mt(high)
u(WIP);3;0;inv(med);mt(high)
u(WIP);4;0;inv(med);mt(high)
u(WIP);5;0;inv(med);mt(high)
u(WIP);6;0;inv(med);mt(high)
u(WIP);7;0;inv(med);mt(high)
u(WIP);8;0;inv(med);mt(high)
u(WIP);9;0;inv(med);mt(high)
u(WIP);10;0;inv(med);mt(high)
u(WIP);11;0;inv(med);mt(high)
u(WIP);12;0;inv(med);mt(high)
u(WIP);13;0;inv(med);mt(high)
u(WIP);14;0;inv(med);mt(high)
u(WIP);15;0;inv(med);mt(high)
u(WIP);16;0;inv(med);mt(high)
u(WIP);17;0;inv(med);mt(high)
u(WIP);18;0;inv(med);mt(high)
u(WIP);19;0;inv(med);mt(high)
u(WIP);20;0;inv(med);mt(high)
u(WIP);21;0;inv(med);mt(high)
u(WIP);22;0;inv(med);mt(high)
u(WIP);23;0;inv(med);mt(high)
u(WIP);24;0;inv(med);mt(high)
u(WIP);25;0;inv(med);mt(high)
u(WIP);26;0;inv(med);mt(high)
u(WIP);27;0;inv(med);mt(high)
u(WIP);28;0;inv(med);mt(high)
u(WIP);29;0;inv(med);mt(high)
u(WIP);30;0;inv(med);mt(high)
i(End Item);1;0;inv(med);mt(high)
i(End Item);2;0;inv(med);mt(high)
i(End Item);3;0;inv(med);mt(high)
i(End Item);4;0;inv(med);mt(high)
i(End Item);5;0;inv(med);mt(high)
i(End Item);6;0;inv(med);mt(high)
i(End Item);7;0;inv(med);mt(high)
i(End Item);8;0;inv(med);mt(high)
i(End Item);9;0;inv(med);mt(high)
i(End Item);10;0;inv(med);mt(high)
i(End Item);11;0;inv(med);mt(high)
i(End Item);12;0;inv(med);mt(high)
i(End Item);13;0;inv(med);mt(high)
i(End Item);14;0;inv(med);mt(high)
i(End Item);15;0;inv(med);mt(high)
i(End Item);16;0;inv(med);mt(high)
i(End Item);17;0;inv(med);mt(high)
i(End Item);18;0;inv(med);mt(high)
i(End Item);19;0;inv(med);mt(high)
i(End Item);20;0;inv(med);mt(high)
i(End Item);21;0;inv(med);mt(high)
i(End Item);22;0;inv(med);mt(high)
i(End Item);23;0;inv(med);mt(high)
i(End Item);24;0;inv(med);mt(high)
i(End Item);25;0;inv(med);mt(high)
i(End Item);26;0;inv(med);mt(high)
i(End Item);27;0;inv(med);mt(high)
i(End Item);28;0;inv(med);mt(high)
i(End Item);29;0;inv(med);mt(high)
i(End Item);30;0;inv(med);mt(high)
y(Total Production);1;9;inv(high);mt(high)
y(Total Production);2;14;inv(high);mt(high)
y(Total Production);3;8;inv(high);mt(high)
y(Total Production);4;10;inv(high);mt(high)
y(Total Production);5;14;inv(high);mt(high)
y(Total Production);6;9;inv(high);mt(high)
y(Total Production);7;7;inv(high);mt(high)
y(Total Production);8;11;inv(high);mt(high)
y(Total Production);9;15;inv(high);mt(high)
y(Total Production);10;15;inv(high);mt(high)
y(Total Production);11;6;inv(high);mt(high)
y(Total Production);12;13;inv(high);mt(high)
y(Total Production);13;9;inv(high);mt(high)
y(Total Production);14;11;inv(high);mt(high)
y(Total Production);15;14;inv(high);mt(high)
y(Total Production);16;13;inv(high);mt(high)
y(Total Production);17;11;inv(high);mt(high)
y(Total Production);18;11;inv(high);mt(high)
y(Total Production);19;12;inv(high);mt(high)
y(Total Production);20;13;inv(high);mt(high)
y(Total Production);21;13;inv(high);mt(high)
y(Total Production);22;10;inv(high);mt(high)
y(Total Production);23;12;inv(high);mt(high)
y(Total Production);24;13;inv(high);mt(high)
y(Total Production);25;13;inv(high);mt(high)
y(Total Production);26;15;inv(high);mt(high)
y(Total Production);27;16;inv(high);mt(high)
y(Total Production);28;11;inv(high);mt(high)
y(Total Production);29;8;inv(high);mt(high)
y(Total Production);30;10;inv(high);mt(high)
u(WIP);1;0;inv(high);mt(high)
u(WIP);2;0;inv(high);mt(high)
u(WIP);3;0;inv(high);mt(high)
u(WIP);4;0;inv(high);mt(high)
u(WIP);5;0;inv(high);mt(high)
u(WIP);6;0;inv(high);mt(high)
u(WIP);7;0;inv(high);mt(high)
u(WIP);8;0;inv(high);mt(high)
u(WIP);9;0;inv(high);mt(high)
u(WIP);10;0;inv(high);mt(high)
u(WIP);11;0;inv(high);mt(high)
u(WIP);12;0;inv(high);mt(high)
u(WIP);13;0;inv(high);mt(high)
u(WIP);14;0;inv(high);mt(high)
u(WIP);15;0;inv(high);mt(high)
u(WIP);16;0;inv(high);mt(high)
u(WIP);17;0;inv(high);mt(high)
u(WIP);18;0;inv(high);mt(high)
u(WIP);19;0;inv(high);mt(high)
u(WIP);20;0;inv(high);mt(high)
u(WIP);21;0;inv(high);mt(high)
u(WIP);22;0;inv(high);mt(high)
u(WIP);23;0;inv(high);mt(high)
u(WIP);24;0;inv(high);mt(high)
u(WIP);25;0;inv(high);mt(high)
u(WIP);26;0;inv(high);mt(high)
u(WIP);27;0;inv(high);mt(high)
u(WIP);28;0;inv(high);mt(high)
u(WIP);29;0;inv(high);mt(high)
u(WIP);30;0;inv(high);mt(high)
i(End Item);1;0;inv(high);mt(high)
i(End Item);2;0;inv(high);mt(high)
i(End Item);3;0;inv(high);mt(high)
i(End Item);4;0;inv(high);mt(high)
i(End Item);5;0;inv(high);mt(high)
i(End Item);6;0;inv(high);mt(high)
i(End Item);7;0;inv(high);mt(high)
i(End Item);8;0;inv(high);mt(high)
i(End Item);9;0;inv(high);mt(high)
i(End Item);10;0;inv(high);mt(high)
i(End Item);11;0;inv(high);mt(high)
i(End Item);12;0;inv(high);mt(high)
i(End Item);13;0;inv(high);mt(high)
i(End Item);14;0;inv(high);mt(high)
i(End Item);15;0;inv(high);mt(high)
i(End Item);16;0;inv(high);mt(high)
i(End Item);17;0;inv(high);mt(high)
i(End Item);18;0;inv(high);mt(high)
i(End Item);19;0;inv(high);mt(high)
i(End Item);20;0;inv(high);mt(high)
i(End Item);21;0;inv(high);mt(high)
i(End Item);22;0;inv(high);mt(high)
i(End Item);23;0;inv(high);mt(high)
i(End Item);24;0;inv(high);mt(high)
i(End Item);25;0;inv(high);mt(high)
i(End Item);26;0;inv(high);mt(high)
i(End Item);27;0;inv(high);mt(high)
i(End Item);28;0;inv(high);mt(high)
i(End Item);29;0;inv(high);mt(high)
i(End Item);30;0;inv(high);mt(high)
